content_uid,name,type,serial_id,genres,duration_seconds
9882,"""Шоу ""Студия ""Союз""",serial_with_season,,"Игровое шоу,Музыка",88765.0
19870,#СидЯдома,serial_with_season,,Комедия,13253.0
2312,(Не)жданный принц,movie,,"Мелодрама,Комедия",4983.0
12655,1+1,movie,,"Драма,Комедия",6452.0
25771,1+1. Нарушая правила,movie,,Комедийная драма,6323.0
25051,1+1: Голливудская история,movie,,"Драма,Комедия",7246.0
24954,10 000 лет до н.э.,movie,,"Фэнтезийный боевик,Приключения,Драма",6264.0
25990,10 лет спустя,movie,,Мелодрама,5790.0
24886,10 мгновений судьбы,movie,,Драма,6133.0
27927,10 минут спустя,movie,,"Криминальный боевик,Детектив,Триллер",5518.0
26482,100 вещей и ничего лишнего,movie,,Комедия,6375.0
9673,11+,movie,,"Мелодрама,Комедия",5420.0
7738,11.6,movie,,Криминальная драма,5650.0
22864,12 рождественских желаний,movie,,Комедия,5220.0
29125,128 ударов сердца в минуту,movie,,Мелодрама,5518.0
26023,13,movie,,Триллер,5595.0
9687,13 грехов,movie,,Триллер,5301.0
26817,13 убийц,movie,,Боевик,7509.0
26571,13 часов: Тайные солдаты Бенгази,movie,,"Военный боевик,Триллер,Боевик",8315.0
6070,13-й район,movie,,Боевик,5040.0
7381,13-й район: Кирпичные особняки,movie,,"Криминал,Боевик",5194.0
26911,13-й район: Ультиматум,movie,,Боевик,5805.0
9737,15 минут славы,movie,,"Криминальная драма,Триллер,Боевик",6945.0
29118,17-й мститель. Фоменко,movie,,Шоу,870.0
25420,1812: Уланская баллада,movie,,Приключения,5687.0
16713,2 оторвы на престоле,serial_with_season,,Комедия,10036.0
26933,"2 спальни, 1 ванная",movie,,"Ужасы,Триллер",5460.0
7475,2001 год: Космическая одиссея,movie,,"Приключения,Фантастика",8562.0
19969,22 комика,serial_with_season,,Комедия,13398.0
29017,22 минуты,movie,,Боевик,4995.0
25115,24 часа,movie,,Драма,4858.0
25125,24 часа на жизнь,movie,,"Триллер,Боевик",5555.0
23414,"257 причин, чтобы жить",serial_with_season,,"Драма,Комедия",18231.0
26190,28 панфиловцев,movie,,Военная драма,6949.0
26499,2:22,movie,,"Триллер,Драма",5682.0
4132,3 дня на убийство,movie,,Криминальный боевик,6732.0
25216,3 дня с Роми Шнайдер,movie,,Биографическая драма,6706.0
3963,3 счастливых поросёнка,movie,,"Мелодрама,Комедия",5918.0
10950,30 свиданий,movie,,Комедия,5307.0
15094,30 сребреников,serial_with_season,,"Ужасы,Фэнтези,Драма",30412.0
27706,300 спартанцев: Расцвет империи,movie,,"Фэнтезийный боевик,Военный",5900.0
26829,31 июня,movie,,Мюзикл,7756.0
25529,31: Праздник смерти,movie,,"Хоррор,Ужасы",5902.0
29085,34-й скорый,movie,,Драма,4726.0
15597,36и6,movie,,"Драма,Комедия",636.0
26716,47 ронинов,movie,,"Фэнтези,Драма,Боевик",6829.0
6185,537 голосов,movie,,Документальный,5980.0
16516,6 дней,movie,,Боевик,5431.0
23152,7 дней в Аду,movie,,Комедия,2487.0
