,serial_with_season,movie,serial_without_season
1,0,6720,0
4,30169,23638,0
25,665,23969,0
43,0,660,0
45,0,14370,0
55,0,310,0
56,0,35986,0
68,0,801,0
70,3511,0,0
72,135877,8129,0
120,0,9234,0
125,0,5166,0
127,266,7606,0
131,0,4,0
132,300756,41242,0
241,0,5748,0
242,0,4959,0
243,0,38708,0
253,7418,28191,0
269,0,193,0
271,0,9663,0
274,0,10584,0
277,0,3821,0
279,0,242,0
280,0,3584,0
282,0,5108,0
283,0,39094,0
295,0,225,0
296,0,13665,0
302,10630,28245,0
313,0,19387,0
318,0,11920,0
322,0,762,0
324,0,39377,0
335,0,4531,0
336,0,2332,0
338,0,20519,0
342,1711,0,0
343,0,11,0
344,0,62141,0
358,0,4179,0
360,0,2517,0
363,0,12388,0
366,0,159,0
368,0,724,0
370,72,11082,0
375,0,5535,0
378,0,44,0
379,0,104449,0
407,0,11570,0
413,35,0,0
414,0,2871,0
418,0,7720,0
421,0,246,0
422,0,4201,0
423,0,12383,0
426,0,10,0
427,5,88939,0
454,0,10453,0
458,959,858,0
462,0,4725,0
463,0,6960,0
467,0,6020,0
469,399,7567,0
479,0,14911,0
481,0,108931,0
510,0,211280,0
571,82,5415,0
577,0,78233,0
602,0,280,0
604,0,3,0
605,0,11781,0
609,0,4721,0
610,0,1759,0
611,0,1635,0
613,0,14,0
614,0,714,0
617,0,2717,0
618,0,6,0
620,0,42,0
623,0,5268,0
624,0,11641,0
626,0,6517,0
627,0,2307,0
628,0,21,0
629,0,40249,0
638,292002,56274,0
1120,0,12,0
1121,0,41646,0
1134,338,155302,0
1167,2307,11261,0
1173,0,242893,0
1240,0,2842,0
1241,0,2729,0
1246,0,4,0
1247,0,28,0
1248,34668,586,0
1256,0,6114,0
1258,0,1944,0
1259,0,8,0
1260,0,52,0
1261,0,14591,0
1268,33238,143809,0
1335,0,202,0
1337,322,211,0
1344,32102,0,0
1356,0,596,0
1357,0,674,0
1358,0,79,0
1359,0,9509,0
1362,0,12,0
1363,0,1029,0
1364,635,0,0
1366,0,765,0
1367,2563,28878,0
1384,0,1712,0
1385,0,5038,0
1387,0,633,0
1389,0,8909,0
1393,0,20,0
1394,0,52111,0
1414,0,68,0
1416,0,5033,0
1418,0,5963,0
1419,0,13572,0
1424,0,20907,0
1429,0,55367,0
1441,0,7408,0
1445,0,25729,0
1453,83,29181,0
1465,0,9619,0
1467,0,285,0
1468,0,1819,0
1479,0,7938,0
1481,0,474,0
1482,0,2406,0
1483,0,4373,0
1485,5547,49274,0
1514,40,0,0
1515,0,108,0
1516,0,18991,0
1521,0,27875,0
1526,0,766,0
1527,0,6434,0
1531,62223,10678,0
1557,0,29091,0
1569,0,2059,0
1570,0,5664,0
1571,0,1607,0
1575,0,4726,0
1576,0,53,0
1577,0,6479,0
1581,0,979,0
1582,33587,18978,0
1603,0,24,0
1604,0,6881,0
1605,13473,11014,0
1614,12,0,0
1615,0,8735,0
1624,0,4800,0
1625,0,69525,0
1643,264,128,0
1645,0,24344,0
1653,0,5094,0
1654,0,2265,0
1658,0,1336,0
1660,0,10,0
1661,0,23,0
1662,0,8324,0
1667,0,29668,0
1673,0,13,0
1674,0,17159,0
1685,13574,6765,0
1700,25044,30365,0
1769,0,27990,0
1779,0,228,0
1780,0,244456,0
1841,0,4224,0
1846,0,1372,0
1848,0,688472,0
2052,0,2376,0
2053,280,5020,0
2059,0,5410,0
2061,0,5472,0
2065,0,14477,0
2068,0,57,0
2069,0,119498,0
2101,0,40575,0
2110,0,66,0
2111,0,82,0
2112,11848,98708,1004
2145,0,10971,0
2148,0,11,0
2149,0,5215,0
2151,0,510,0
2152,3,45,0
2154,1554,75825,0
2182,0,253,0
2183,0,3169,0
2184,0,5594,0
2185,5924,16144,0
2191,0,14207,0
2200,0,101787,0
2227,0,3909,0
2228,0,14714,0
2236,7465,118758,0
2271,111523,51503,0
2325,0,3466,0
2326,0,21785,0
2330,2,510,0
2333,0,8,0
2334,0,100,0
2335,0,756,0
2336,0,113251,0
2366,0,185853,0
2416,0,139279,0
2460,0,17186,0
2468,0,10390,0
2472,0,428,0
2473,0,143749,0
2518,0,308101,2971
2594,0,5964,0
2596,0,14834,0
2601,0,34349,0
2607,653,41691,0
2623,0,1776,0
2627,0,7278,0
2629,0,1121,0
2630,0,12793,0
2635,0,441,0
2636,0,27739,0
2641,0,81,0
2643,0,4523,0
2644,0,27951,0
2664,0,3206,0
2667,0,4931,0
2668,0,1979,0
2669,0,54309,0
2683,801,18963,0
2689,0,26950,0
